* Sea Surface Temperature timeseries for an undisclosed location in the ocean.
* This dataset was prepared for a Class Project for Basic Computer Skills 2
* At the Cape Peninsula University of Technology.
* Column 1: UTC Date and Time [YYYYMMDDHHMMSS]
* Column 2: Sea Surface Temperature [Deg.C]
"20190905121910,15.4518"
"20190905121916,15.4519"
"20190905121922,15.4506"
"20190905121928,15.4507"
"20190905121934,15.4510"
"20190905121940,15.4509"
"20190905121946,15.4505"
"20190905121952,15.4501"
"20190905121958,15.4503"
"20190905122004,15.4498"
"20190905122010,15.4502"
"20190905122016,15.4498"
"20190905122022,15.4496"
"20190905122028,15.4498"
"20190905122034,15.4507"
"20190905122040,15.4514"
"20190905122046,15.4526"
"20190905122052,15.4529"
"20190905122058,15.4526"
"20190905122104,15.4529"
"20190905122110,15.4528"
"20190905122116,15.4525"
"20190905122122,15.4526"
"20190905122128,15.4529"
"20190905122134,15.4538"
"20190905122140,15.4535"
"20190905122146,15.4536"
"20190905122152,15.4528"
"20190905122158,15.4522"
"20190905122204,15.4513"
"20190905122210,15.4507"
"20190905122216,15.4498"
"20190905122222,15.4492"
"20190905122228,15.4493"
"20190905122234,15.4495"
"20190905122240,15.4494"
"20190905122246,15.4496"
"20190905122252,15.4499"
"20190905122258,15.4501"
"20190905122304,15.4503"
"20190905122310,15.4490"
"20190905122316,15.4485"
"20190905122322,15.4491"
"20190905122328,15.4499"
"20190905122334,15.4483"
"20190905122340,15.4473"
"20190905122346,15.4470"
"20190905122352,15.4462"
"20190905122358,15.4454"
"20190905122404,15.4447"
"20190905122410,15.4435"
"20190905122416,15.4432"
"20190905122422,15.4424"
"20190905122428,15.4423"
"20190905122434,15.4419"
"20190905122440,15.4427"
"20190905122446,15.4432"
"20190905122452,15.4432"
"20190905122458,15.4438"
"20190905122504,15.4448"
"20190905122510,15.4461"
"20190905122516,15.4460"
"20190905122522,15.4464"
"20190905122528,15.4467"
"20190905122534,15.4462"
"20190905122540,15.4471"
"20190905122546,15.4472"
"20190905122552,15.4475"
"20190905122558,15.4469"
"20190905122604,15.4470"
"20190905122610,15.4461"
"20190905122616,15.4456"
"20190905122622,15.4460"
"20190905122628,15.4456"
"20190905122634,15.4445"
"20190905122640,15.4440"
"20190905122646,15.4434"
"20190905122652,15.4428"
"20190905122658,15.4426"
"20190905122704,15.4419"
"20190905122710,15.4419"
"20190905122716,15.4414"
"20190905122722,15.4412"
"20190905122728,15.4410"
"20190905122734,15.4416"
"20190905122740,15.4430"
"20190905122746,15.4429"
"20190905122752,15.4429"
"20190905122758,15.4433"
"20190905122804,15.4437"
"20190905122810,15.4444"
"20190905122816,15.4444"
"20190905122822,15.4445"
"20190905122828,15.4452"
"20190905122834,15.4455"
"20190905122840,15.4460"
